RowNumber,Exited,P_hat_prediciton
1,1,0.121709581600609
2,0,0.155266452487962
3,1,0.304564525286621
4,0,0.232334710775693
5,0,0.174744140902217
6,1,0.246045760538806
7,0,0.109518943024594
8,1,0.25629117967977
9,0,0.106319748696296
10,0,0.0377700793492465
11,0,0.115507931762383
12,0,0.0551115374768424
13,0,0.154323524991468
14,0,0.0931676415839981
15,0,0.0653733002861956
16,0,0.215306786269428
17,1,0.701741305073182
18,0,0.0295756269740131
19,0,0.21961427685645
20,0,0.0309719409968844
21,0,0.0592295998649169
22,0,0.140076962920205
23,1,0.228032588810801
24,0,0.0892526221947532
25,0,0.0899317169849993
26,0,0.0208725609369172
27,0,0.137460201634761
28,0,0.184815309392742
29,0,0.306246578530941
30,0,0.0398868208284522
31,1,0.210349453972413
32,0,0.0643495916282419
33,0,0.352602566277565
34,0,0.105675171880998
35,0,0.0419836391337255
36,1,0.426975506339387
37,0,0.0492306665382274
38,0,0.0522488751041505
39,0,0.0466776703664347
40,0,0.160756065043538
41,0,0.168065542174426
42,1,0.503010285638291
43,0,0.438598476018158
44,1,0.491000003509669
45,0,0.428999504622167
46,0,0.149794728511749
47,1,0.110853349518973
48,1,0.230732829588802
49,0,0.154510971780919
50,0,0.434447297595114
51,0,0.400374556775383
52,0,0.289269110388687
53,0,0.155192786537781
54,1,0.379445790279553
55,1,0.421765960681643
56,0,0.112864472139439
57,0,0.289014889266119
58,0,0.121512450588558
59,1,0.693058035891258
60,0,0.17337365686192
61,0,0.293677398141634
62,0,0.251686770407904
63,0,0.138355826215746
64,0,0.22402066779242
65,0,0.0690475504265153
66,0,0.187823909925246
67,0,0.408424660046152
68,0,0.174509457556526
69,0,0.178790081206568
70,0,0.102135752344368
71,1,0.634647881142587
72,0,0.0809023713064078
73,0,0.124710266146007
74,0,0.0953845418587547
75,0,0.0413151675443241
76,0,0.105195748073779
77,0,0.148258806141393
78,0,0.0565864856757339
79,0,0.0538557732715369
80,0,0.476233819562473
81,0,0.228841534368231
82,1,0.164712091415571
83,0,0.190801976510565
84,0,0.095548779659585
85,0,0.324258730192228
86,0,0.549333918121476
87,1,0.0730569230922365
88,0,0.0757872569820598
89,1,0.30360276923618
90,0,0.11715167493364
91,1,0.111997855469286
92,0,0.263071911213438
93,0,0.174249217041744
94,0,0.025656851089822
95,0,0.0672820008643099
96,0,0.0586678407638112
97,0,0.0878768144600446
98,0,0.0726712117241046
99,0,0.0445201429531279
100,0,0.0988156618715191
101,0,0.101101357019804
102,0,0.286741724606447
103,0,0.119876002129633
104,0,0.115734299742662
105,1,0.428059743603273
